지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
133,대전,2026-06-01 01:00,20.1,,,,1,,290,,65,,15.3,13.3,1006.5,,1014.4,,,9,,9,,,4,0,,,5000,,,19.8,,24.2,24.5,24.8,24.6
133,대전,2026-06-01 02:00,19.1,,,,1,,340,,70,,15.4,13.4,1006.5,,1014.4,,,9,,9,,,6,0,,,5000,,,19.1,,23.6,24.1,24.5,24.4
133,대전,2026-06-01 03:00,18.5,,,,.8,,340,,74,,15.7,13.7,1006.4,,1014.4,,,9,,9,,,7,0,,,5000,,,18.6,,23,23.7,24.3,24.3
133,대전,2026-06-01 04:00,17.9,,,,0,,0,,77,,15.8,13.8,1006.2,,1014.2,,,9,,9,,,6,0,,,5000,,,18.1,,22.5,23.4,24.1,24.1
133,대전,2026-06-01 05:00,17.1,,,,.9,,320,,81,,15.8,13.8,1006.2,,1014.2,,,9,,9,,,8,0,,,4965,,,17.7,,22.1,23,23.8,23.9
133,대전,2026-06-01 06:00,17,,,,.5,,320,,83,,16,14,1006.6,,1014.6,,0,,.04,,,,8,0,,,4820,,,17.9,,21.7,22.7,23.6,23.8
133,대전,2026-06-01 07:00,18.7,,,,.9,,320,,77,,16.5,14.5,1007.3,,1015.3,,.3,,.39,,,,7,0,,,4788,,,19.3,,21.8,22.6,23.4,23.7
133,대전,2026-06-01 08:00,21.4,,,,0,,0,,65,,16.5,14.5,1007.9,,1015.8,,.8,,1.1,,,,7,0,,,4967,,,22.4,,22.5,22.8,23.2,23.5
133,대전,2026-06-01 09:00,23.9,,,,.7,,180,,52,,15.4,13.4,1007.8,,1015.6,,.7,,1.55,,,,8,0,,,4764,,,25.9,,23.6,23,23,23.3
133,대전,2026-06-01 10:00,25.7,,,,1.3,,360,,49,,16.1,14.1,1007.8,,1015.6,,.9,,2.19,,,,6,0,,,5000,,,29.1,,25,23.5,22.9,23.1
133,대전,2026-06-01 11:00,27.5,,,,2.9,,200,,32,,11.7,9.3,1007.5,,1015.2,,1,,2.89,,,,6,0,,,5000,,,31.8,,26.6,24.1,22.9,23.1
133,대전,2026-06-01 12:00,28.1,,,,2.3,,250,,37,,14,12,1007,,1014.7,,.6,,2.61,,,,6,0,,,5000,,,33.4,,27.8,24.7,23.1,23.1
133,대전,2026-06-01 13:00,29.2,,,,2.7,,230,,38,,15.4,13.4,1006.3,,1013.9,,1,,3.62,,,,5,0,,,5000,,,38.2,,29.4,25.4,23.3,23.2
133,대전,2026-06-01 14:00,29.5,,,,2,,270,,40,,16.4,14.4,1005.7,,1013.3,,.9,,3.19,,,,6,0,,,4982,,,39.4,,30.7,26.2,23.6,23.3
133,대전,2026-06-01 15:00,29.9,,,,2.6,,200,,41,,17.3,15.2,1004.8,,1012.4,,1,,2.86,,,,7,0,,,5000,,,38.1,,31.5,27,24.1,23.6
133,대전,2026-06-01 16:00,29.5,,,,2,,290,,41,,16.8,14.8,1004.6,,1012.2,,.4,,1.89,,,,9,0,,,5000,,,35.2,,31.6,27.5,24.5,23.8
133,대전,2026-06-01 17:00,28.1,,,,2.8,,360,,47,,17.8,15.7,1003.8,,1011.5,,.3,,1.14,,,,7,0,,,5000,,,32.2,,31.1,27.6,24.9,24.1
133,대전,2026-06-01 18:00,28.2,,,,2.6,,320,,39,,14.9,12.9,1004.1,,1011.8,,.9,,1.28,,,,5,0,,,5000,,,30.3,,30.5,27.6,25.2,24.3
133,대전,2026-06-01 19:00,26.4,,,,1.5,,320,,46,,15.8,13.8,1004.2,,1011.9,,.4,,.4,,,,8,0,,,5000,,,27.4,,29.4,27.3,25.5,24.6
133,대전,2026-06-01 20:00,24.5,,,,.8,,360,,56,,17.2,15.1,1004.3,,1012.1,,0,,.05,,,,9,0,,,5000,,,25.3,,28.3,26.9,25.5,24.7
133,대전,2026-06-01 21:00,23.7,,,,2,,340,,56,,16.3,14.3,1004.9,,1012.7,,,9,,9,,,9,0,,,5000,,,23.9,,27.4,26.5,25.5,24.8
133,대전,2026-06-01 22:00,23.3,,,,1.6,,340,,56,,16,14,1004.9,,1012.7,,,9,,9,,,9,0,,,5000,,,23.2,,26.6,26.1,25.4,24.8
133,대전,2026-06-01 23:00,23.1,,,,.7,,290,,57,,16.1,14.1,1005,,1012.8,,,9,,9,,,10,0,,,5000,,,22.6,,26,25.7,25.3,24.8
133,대전,2026-06-02 00:00,22.5,,,,1.7,,340,,61,,16.5,14.5,1004.4,,1012.2,,,9,,9,,,10,0,,,4995,,,22.1,,25.5,25.4,25.1,24.8
